date,state,cases_import,cases_new,cases_recovered
7/26/21,Johor,0,1449,429
7/26/21,Kedah,1,1160,593
7/26/21,Kelantan,0,346,236
7/26/21,Melaka,0,373,245
7/26/21,Negeri Sembilan,0,452,750
7/26/21,Pahang,0,386,344
7/26/21,Perak,0,590,300
7/26/21,Perlis,0,2,4
7/26/21,Pulau Pinang,0,402,314
7/26/21,Sabah,0,720,488
7/26/21,Sarawak,1,356,308
7/26/21,Selangor,1,6508,4348
7/26/21,Terengganu,0,245,243
7/26/21,W.P. Kuala Lumpur,0,1425,660
7/26/21,W.P. Labuan,0,8,66
7/26/21,W.P. Putrajaya,0,94,43
7/27/21,Johor,1,907,280
7/27/21,Kedah,0,1000,501
7/27/21,Kelantan,0,592,175
7/27/21,Melaka,0,674,178
7/27/21,Negeri Sembilan,1,669,1072
7/27/21,Pahang,0,403,395
7/27/21,Perak,0,583,339
7/27/21,Perlis,0,2,0
7/27/21,Pulau Pinang,0,618,483
7/27/21,Sabah,0,741,652
7/27/21,Sarawak,1,405,440
7/27/21,Selangor,3,6616,5235
7/27/21,Terengganu,0,317,145
7/27/21,W.P. Kuala Lumpur,20,2457,1516
7/27/21,W.P. Labuan,0,11,40
7/27/21,W.P. Putrajaya,0,122,75
7/28/21,Johor,0,767,708
7/28/21,Kedah,0,1112,504
7/28/21,Kelantan,0,532,237
7/28/21,Melaka,0,531,752
7/28/21,Negeri Sembilan,0,863,1358
7/28/21,Pahang,0,429,157
7/28/21,Perak,0,406,547
7/28/21,Perlis,0,3,7
7/28/21,Pulau Pinang,0,760,324
7/28/21,Sabah,0,913,527
7/28/21,Sarawak,0,464,341
7/28/21,Selangor,2,7171,5005
7/28/21,Terengganu,0,490,129
7/28/21,W.P. Kuala Lumpur,4,2880,1709
7/28/21,W.P. Labuan,0,16,33
7/28/21,W.P. Putrajaya,0,68,35
7/29/21,Johor,8,1054,606
7/29/21,Kedah,0,1212,711
7/29/21,Kelantan,0,615,329
7/29/21,Melaka,0,416,371
7/29/21,Negeri Sembilan,2,884,1474
7/29/21,Pahang,0,638,71
7/29/21,Perak,0,596,275
7/29/21,Perlis,0,10,0
7/29/21,Pulau Pinang,0,554,255
7/29/21,Sabah,0,776,649
7/29/21,Sarawak,0,582,330
7/29/21,Selangor,3,7163,6061
7/29/21,Terengganu,0,437,308
7/29/21,W.P. Kuala Lumpur,19,2138,1451
7/29/21,W.P. Labuan,0,11,33
7/29/21,W.P. Putrajaya,0,84,6
7/30/21,Johor,1,1104,472
7/30/21,Kedah,0,1281,133
7/30/21,Kelantan,0,656,326
7/30/21,Melaka,0,581,517
7/30/21,Negeri Sembilan,0,1079,1411
7/30/21,Pahang,0,540,248
7/30/21,Perak,0,810,344
7/30/21,Perlis,0,13,3
7/30/21,Pulau Pinang,0,689,563
7/30/21,Sabah,0,1066,537
7/30/21,Sarawak,0,450,327
7/30/21,Selangor,14,6092,5480
7/30/21,Terengganu,0,258,217
7/30/21,W.P. Kuala Lumpur,2,2114,1523
7/30/21,W.P. Labuan,0,7,19
7/30/21,W.P. Putrajaya,0,100,59
7/31/21,Johor,0,1144,419
7/31/21,Kedah,0,1389,1042
7/31/21,Kelantan,0,580,126
7/31/21,Melaka,0,697,450
7/31/21,Negeri Sembilan,0,929,1207
7/31/21,Pahang,0,653,239
7/31/21,Perak,0,775,328
7/31/21,Perlis,0,16,0
7/31/21,Pulau Pinang,0,713,181
7/31/21,Sabah,0,1035,485
7/31/21,Sarawak,0,485,311
7/31/21,Selangor,9,6400,4961
7/31/21,Terengganu,0,883,171
7/31/21,W.P. Kuala Lumpur,0,1962,1727
7/31/21,W.P. Labuan,0,9,30
7/31/21,W.P. Putrajaya,0,116,41
8/1/21,Johor,0,1045,1200
8/1/21,Kedah,0,1511,633
8/1/21,Kelantan,0,459,284
8/1/21,Melaka,0,686,200
8/1/21,Negeri Sembilan,0,809,784
8/1/21,Pahang,0,676,445
8/1/21,Perak,0,693,440
8/1/21,Perlis,0,21,9
8/1/21,Pulau Pinang,0,752,372
8/1/21,Sabah,0,1002,577
8/1/21,Sarawak,0,578,253
8/1/21,Selangor,0,6326,4780
8/1/21,Terengganu,0,429,319
8/1/21,W.P. Kuala Lumpur,1,2086,970
8/1/21,W.P. Labuan,0,5,12
8/1/21,W.P. Putrajaya,0,72,48
8/2/21,Johor,1,1222,798
8/2/21,Kedah,0,1108,724
8/2/21,Kelantan,0,552,428
8/2/21,Melaka,0,463,331
8/2/21,Negeri Sembilan,0,862,1278
8/2/21,Pahang,0,475,512
8/2/21,Perak,0,748,458
8/2/21,Perlis,0,9,8
8/2/21,Pulau Pinang,0,667,715
8/2/21,Sabah,0,1166,579
8/2/21,Sarawak,1,411,366
8/2/21,Selangor,2,6067,4408
8/2/21,Terengganu,0,425,409
8/2/21,W.P. Kuala Lumpur,2,1536,676
8/2/21,W.P. Labuan,0,7,23
8/2/21,W.P. Putrajaya,0,46,54
8/3/21,Johor,0,1275,670
8/3/21,Kedah,0,1036,292
8/3/21,Kelantan,1,915,311
8/3/21,Melaka,0,508,298
8/3/21,Negeri Sembilan,3,816,904
8/3/21,Pahang,1,628,410
8/3/21,Perak,1,967,501
8/3/21,Perlis,0,7,7
8/3/21,Pulau Pinang,0,798,489
8/3/21,Sabah,0,1010,699
8/3/21,Sarawak,0,494,375
8/3/21,Selangor,2,5836,5538
8/3/21,Terengganu,0,429,140
8/3/21,W.P. Kuala Lumpur,29,2309,1596
8/3/21,W.P. Labuan,0,5,17
8/3/21,W.P. Putrajaya,0,72,50
8/4/21,Johor,1,1162,464
8/4/21,Kedah,0,1371,2015
8/4/21,Kelantan,0,1003,429
8/4/21,Melaka,0,508,424
8/4/21,Negeri Sembilan,0,800,586
8/4/21,Pahang,0,558,446
8/4/21,Perak,0,662,361
8/4/21,Perlis,0,11,3
8/4/21,Pulau Pinang,0,867,198
8/4/21,Sabah,0,949,413
8/4/21,Sarawak,0,552,292
8/4/21,Selangor,2,8377,5499
8/4/21,Terengganu,0,481,369
8/4/21,W.P. Kuala Lumpur,18,2467,1137
8/4/21,W.P. Labuan,1,5,16
8/4/21,W.P. Putrajaya,1,46,52
8/5/21,Johor,13,1300,826
8/5/21,Kedah,0,1446,1085
8/5/21,Kelantan,0,772,41
8/5/21,Melaka,0,622,327
8/5/21,Negeri Sembilan,0,989,662
8/5/21,Pahang,0,426,378
8/5/21,Perak,1,916,348
8/5/21,Perlis,0,4,4
8/5/21,Pulau Pinang,0,1022,927
8/5/21,Sabah,0,1062,619
8/5/21,Sarawak,4,759,604
8/5/21,Selangor,5,8549,6071
8/5/21,Terengganu,0,501,313
8/5/21,W.P. Kuala Lumpur,11,2163,1575
8/5/21,W.P. Labuan,0,15,20
8/5/21,W.P. Putrajaya,0,50,93
8/6/21,Johor,0,1275,687
8/6/21,Kedah,0,1371,1448
8/6/21,Kelantan,0,938,1185
8/6/21,Melaka,0,491,338
8/6/21,Negeri Sembilan,0,986,630
8/6/21,Pahang,0,610,330
8/6/21,Perak,0,624,415
8/6/21,Perlis,0,9,7
8/6/21,Pulau Pinang,0,776,145
8/6/21,Sabah,0,1291,770
8/6/21,Sarawak,0,652,391
8/6/21,Selangor,3,8792,7665
8/6/21,Terengganu,0,460,308
8/6/21,W.P. Kuala Lumpur,10,2483,2020
8/6/21,W.P. Labuan,0,9,13
8/6/21,W.P. Putrajaya,0,122,42
8/7/21,Johor,0,1182,736
8/7/21,Kedah,0,1514,1233
8/7/21,Kelantan,0,930,497
8/7/21,Melaka,0,414,588
8/7/21,Negeri Sembilan,0,884,724
